"ISO_code"
"AGO"
"BDI"
"BEN"
"BFA"
"CAF"
"CIV"
"CMR"
"COD"
"COG"
"ERI"
"ETH"
"GHA"
"GIN"
"GMB"
"GNB"
"KEN"
"LBR"
"MLI"
"MRT"
"NER"
"NGA"
"RWA"
"SDN"
"SEN"
"SLE"
"SOM"
"SSD"
"TCD"
"TGO"
"TZA"
"UGA"
"ZMB"
