"ISO_code"
"BDI"
"BEN"
"BFA"
"CAF"
"CIV"
"CMR"
"COD"
"ERI"
"ETH"
"GHA"
"GIN"
"GMB"
"GNB"
"KEN"
"MLI"
"MRT"
"NER"
"NGA"
"RWA"
"SDN"
"SEN"
"SSD"
"TCD"
"TGO"
"TZA"
"UGA"
